Granulocytes;T_lymphocytes;Cytotoxic_T_cells;Naive_CD4+_T_cells;T_helper_type_2_cells;Pericytes;Macro_Mono;Macrophage;Monocyte;Natural_killer;Regulatory_T_lymphocytes;Endothelial_cells;Tumor_cells;Prolif_cells;B_lymphocytes;Dendritic_cells;Neutrophiles;Smooth_muscle;Ciliated_cells
TPSAB1;CD8A;KIR2DL4;IL7R;EGR1;RGS5;C1QA;CYBB;MS4A4A;NKG7;TIGIT;RAMP2;CA9;STMN1;MS4A1;CD1C;CXCR2;COL4A2;RSPH1
TPSB2;CD8B;CD8B;;;ACTA2;C1QC;SPI1;CD163;GNLY;CTLA4;TM4SF1;KRT8;TUBB;CD79B;PKIB;PROK2;COL3A1;C5orf49
HPGDS;GZMH;;;;MYH11;C1QB;MNDA;FCGR1A;CD3E;SOD1;RNASE1;KRT18;TOP2A;BTG1;INSIG1;MNDA;EMILIN1;TEKT1
CPA3;GZMA;;;;MT1M;GPR34;NCF2;C5AR1;CTSW;TNFRSF4;EGFL7;PDK4;HMGB2;VPREB3;CLEC10A;S100A8;MFAP4;CAPS
HPGD;PTPRC;;;;FRZB;CSF1R;HCK;SLCO2B1;GZMA;TNFRSF18;RAMP3;VEGFA;CDK1;BANK1;C15orf48;HCAR3;PLAC9;C20orf85
MS4A2;CD4;;;;MT1A;MS4A4A;PLEK;;GZMB;RTKN2;PLVAP;NNMT;MKI67;CD79A;PPA1;FCGR3B;COL1A2;TPPP3
RGS13;CD3D;;;;;S100A9;HLA-DMB;;GZMH;FOXP3;AQP1;VCAM1;;IGLL5;FCER1A;CMTM2;BGN;FAM183A
CTSG;CD3E;;;;;FCN1;MS4A6A;;KLRB1;;ECSCR;FAM3C;;;CST3;MS4A2;PDE5A;CFAP126
;IL7R;;;;;S100A8;VCAN;;KLRC3;;FKBP1A;KLK8;;;;;;FOXJ1
;CCR7;;;;;LYZ;;;KLRD1;;EMP1;LMOD1;;;;;;ERICH3
;S100A4;;;;;CD300E;;;KLRF1;;VWF;POSTN;;;;;;TEKT2
;RGCC;;;;;CPVL;;;KLRK1;;EMCN;BTG1;;;;;;CCDC173
;TRAV5;;;;;ZNF385A;;;NCR1;;RSPH1;CLDN1;;;;;;
;CL40LG;;;;;;;;PRF1;;C5orf49;CCR7;;;;;;
;CD69;;;;;;;;XCL1;;TEKT1;RPL28;;;;;;
;KIR2DL4;;;;;;;;XCL2;;CLEC14A;FAM3C;;;;;;
;CD8B;;;;;;;;IFNG-AS1;;GNG11;MSLN;;;;;;
;EGR1;;;;;;;;RGCC;;CDH5;CCL5;;;;;;
;IL32;;;;;;;;KLRF2;;SPARCL1;COL8A1;;;;;;
;TRAC;;;;;;;;KIR2DL4;;CLDN5;POSTN;;;;;;
;CD3G;;;;;;;;CD3G;;CAPS;CXCR4;;;;;;
;TRBC2;;;;;;;;;;C20orf85;CD74;;;;;;
;;;;;;;;;;;TPPP3;LEF1;;;;;;
;;;;;;;;;;;FAM183A;HSPA;;;;;;
;;;;;;;;;;;CFAP126;TPT1;;;;;;
;;;;;;;;;;;FOXJ1;TSHZ2;;;;;;
;;;;;;;;;;;ERICH3;LYPD3;;;;;;
;;;;;;;;;;;TEKT2;TCF7;;;;;;
;;;;;;;;;;;CCDC173;EEF1A1;;;;;;
;;;;;;;;;;;;S1PR1;;;;;;
;;;;;;;;;;;;B3GNT3;;;;;;
;;;;;;;;;;;;RBM47;;;;;;
;;;;;;;;;;;;ETS2;;;;;;
;;;;;;;;;;;;ICAM1;;;;;;
;;;;;;;;;;;;RAC2;;;;;;
;;;;;;;;;;;;B2M;;;;;;
;;;;;;;;;;;;HLA-E;;;;;;
;;;;;;;;;;;;PTPRC;;;;;;
;;;;;;;;;;;;ASPM;;;;;;
;;;;;;;;;;;;TOP2A;;;;;;
;;;;;;;;;;;;TPX2;;;;;;
;;;;;;;;;;;;KIF4A;;;;;;
;;;;;;;;;;;;PBK;;;;;;
;;;;;;;;;;;;KIF20A;;;;;;
;;;;;;;;;;;;RPL35;;;;;;
;;;;;;;;;;;;RPL22;;;;;;
;;;;;;;;;;;;RPL36;;;;;;
;;;;;;;;;;;;RPL23A;;;;;;
;;;;;;;;;;;;GNB2L1;;;;;;
;;;;;;;;;;;;KRT7;;;;;;
;;;;;;;;;;;;CXCL17;;;;;;
;;;;;;;;;;;;S100A14;;;;;;
;;;;;;;;;;;;TMEM45A;;;;;;
;;;;;;;;;;;;SFTA2;;;;;;
;;;;;;;;;;;;CADM1;;;;;;
;;;;;;;;;;;;SUSD2;;;;;;
;;;;;;;;;;;;PEBP4;;;;;;
;;;;;;;;;;;;HNRNPA1;;;;;;
;;;;;;;;;;;;DCN;;;;;;
;;;;;;;;;;;;NR2F1;;;;;;
