Granulocytes;T_lymphocytes;Cytotoxic_T_cells;Naive_CD4+_T_cells;T_helper_type_2_cells;Pericytes;Macro_Mono;Macrophage;Monocyte;Natural_killer;Regulatory_T_lymphocytes;Endothelial_cells;Tumor_cells;Lung_Tumor_cells;Endotheliales_Tumor_cells;Colorectal_Tumor_cells;Esophageal_Tumor_cells;Kidney_Tumor_cells;Prolif_cells;B_lymphocytes;Dendritic_cells;Neutrophiles;Smooth_muscle;Ciliated_cells
TPSAB1;CD8A;KIR2DL4;IL7R;EGR1;RGS5;C1QA;CYBB;MS4A4A;NKG7;TIGIT;RAMP2;CA9;RBM47;DCN;VCAM1;B3GNT3;CA9;STMN1;MS4A1;CD1C;CXCR2;COL4A2;RSPH1
TPSB2;CD8B;CD8B;;;ACTA2;C1QC;SPI1;CD163;GNLY;CTLA4;TM4SF1;KRT8;ETS2;NR2F1;FAM3C;;KRT8;TUBB;CD79B;PKIB;PROK2;COL3A1;C5orf49
HPGDS;GZMH;;;;MYH11;C1QB;MNDA;FCGR1A;CD3E;SOD1;RNASE1;KRT18;ICAM1;;KLK8;;KRT18;TOP2A;BTG1;INSIG1;MNDA;EMILIN1;TEKT1
CPA3;GZMA;;;;MT1M;GPR34;NCF2;C5AR1;CTSW;TNFRSF4;EGFL7;PDK4;RAC2;;LMOD1;;PDK4;HMGB2;VPREB3;CLEC10A;S100A8;MFAP4;CAPS
HPGD;PTPRC;;;;FRZB;CSF1R;HCK;SLCO2B1;GZMA;TNFRSF18;RAMP3;VEGFA;B2M;;POSTN;;VEGFA;CDK1;BANK1;C15orf48;HCAR3;PLAC9;C20orf85
MS4A2;CD4;;;;MT1A;MS4A4A;PLEK;;GZMB;RTKN2;PLVAP;NNMT;HLA-E;;BTG1;;NNMT;MKI67;CD79A;PPA1;FCGR3B;COL1A2;TPPP3
RGS13;CD3D;;;;;S100A9;HLA-DMB;;GZMH;FOXP3;AQP1;VCAM1;PTPRC;;CLDN1;;;;IGLL5;;CMTM2;BGN;FAM183A
CTSG;CD3E;;;;;FCN1;MS4A6A;;KLRB1;;ECSCR;FAM3C;ASPM;;CCR7;;;;;;MS4A2;PDE5A;CFAP126
;;;;;;S100A8;VCAN;;KLRC3;;FKBP1A;KLK8;TOP2A;;RPL28;;;;;;;;FOXJ1
;;;;;;LYZ;;;KLRD1;;EMP1;LMOD1;TPX2;;;;;;;;;;ERICH3
;;;;;;CD300E;;;KLRF1;;VWF;POSTN;KIF4A;;;;;;;;;;TEKT2
;;;;;;CPVL;;;KLRK1;;EMCN;BTG1;PBK;;;;;;;;;;CCDC173
;;;;;;ZNF385A;;;NCR1;;RSPH1;CLDN1;KIF20A;;;;;;;;;;
;;;;;;;;;PRF1;;C5orf49;CCR7;RPL35;;;;;;;;;;
;;;;;;;;;XCL1;;TEKT1;RPL28;RPL22;;;;;;;;;;
;;;;;;;;;XCL2;;CLEC14A;FAM3C;RPL36;;;;;;;;;;
;;;;;;;;;;;GNG11;MSLN;RPL23A;;;;;;;;;;
;;;;;;;;;;;CDH5;CCL5;GNB2L1;;;;;;;;;;
;IL7R;;;;;;;;IFNG-AS1;;SPARCL1;COL8A1;KRT18;;;;;;;FCER1A;;;
;CCR7;;;;;;;;RGCC;;CLDN5;POSTN;KRT7;;;;;;;CST3;;;
;S100A4;;;;;;;;KLRF2;;CAPS;CXCR4;CXCL17;;;;;;;;;;
